feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Odoribacter	Group	post_ltx	-3.03306518447587	0.326060387741345	511	275	7.27619783182858e-18	2.22651653653955e-15
Haemophilus	Group	post_ltx	2.82398069548739	0.334195521594828	511	367	2.30337743259999e-15	3.52416747187799e-13
Actinomyces	Country	NO	-2.45008172947807	0.307000165118761	511	296	6.42245561375528e-14	3.93054283561823e-12
Intestinimonas	Group	post_ltx	-2.79143108051753	0.350637001769668	511	346	5.75237198390464e-14	3.93054283561823e-12
Veillonella	Group	post_ltx	2.79889546367127	0.349125429891099	511	401	4.00324600631704e-14	3.93054283561823e-12
Collinsella	Country	NO	-3.29408074789762	0.450519815626956	511	395	3.70907509475984e-12	1.89162829832752e-10
Colidextribacter	Group	post_ltx	-2.75710758554054	0.382452031854751	511	374	6.60512761702907e-12	2.52646131351362e-10
Sphingobium	Country	NO	-1.3910678370559	0.191701407223568	511	117	6.21686459930105e-12	2.52646131351362e-10
X.Clostridium._methylpentosum_group	Group	post_ltx	-1.2205858806939	0.170761943921361	511	96	1.03277613641739e-11	3.51143886381913e-10
Sphingobium	Group	post_ltx	1.36973189578104	0.192683282833158	511	117	1.33595017790993e-11	4.0880075444044e-10
f__Ruminococcaceae.g__uncultured	Group	post_ltx	-2.05736683918322	0.291250473901983	511	296	1.5865319909203e-11	4.41344353837828e-10
Lachnospiraceae_UCG.010	Group	post_ltx	-2.88437200871037	0.411112139277235	511	352	2.15801931690149e-11	5.50294925809881e-10
Family_XIII_UCG.001	Group	post_ltx	-1.40122994036654	0.203942882709816	511	161	4.90495424188387e-11	1.15455076770497e-09
Lachnoclostridium	Group	post_ltx	-1.62824170330221	0.240365531487037	511	497	9.00655860581019e-11	1.96857638098423e-09
Clostridia_UCG.014	Group	post_ltx	-2.61942857041801	0.393364291455768	511	209	1.75536135897489e-10	3.58093717230878e-09
Christensenellaceae_R.7_group	Group	post_ltx	-2.98422414895965	0.450651771468117	511	286	2.14457867589309e-10	4.10150671764553e-09
f__Oscillospiraceae.g__unassigned	Group	post_ltx	-2.10765527856561	0.326257079599565	511	187	5.4754043869258e-10	9.85572789646644e-09
Bifidobacterium	Country	NO	-2.99915982823336	0.470943167378973	511	433	9.349537916102e-10	1.58942144573734e-08
f__Enterobacteriaceae.g__unassigned	Group	post_ltx	3.0285407949499	0.479265507090759	511	144	1.19085586119296e-09	1.9179047027634e-08
Streptococcus	Group	post_ltx	1.9497880723319	0.312888293725751	511	492	1.90427170770731e-09	2.91353571279219e-08
X.Clostridium._innocuum_group	Country	NO	-2.05973885027796	0.332273538209729	511	256	2.40394002975325e-09	3.50288404335473e-08
o__Rhodospirillales.f__uncultured.g__uncultured	Group	post_ltx	-2.71599185292973	0.442181883382782	511	212	3.22569548196153e-09	4.48664917036467e-08
Family_XIII_AD3011_group	Group	post_ltx	-2.32633448305403	0.388675806622805	511	266	7.37893783436712e-09	9.40814573881808e-08
Enterococcus	Group	post_ltx	2.40474177528966	0.401428665594092	511	157	7.23830846460382e-09	9.40814573881808e-08
Alistipes	Group	post_ltx	-2.46317504451904	0.413588312560974	511	421	8.72621971257229e-09	1.06808929281885e-07
Butyricimonas	Group	post_ltx	-2.00938501919928	0.34753185035099	511	247	2.21167706707704e-08	2.60297377894452e-07
Parabacteroides	Group	post_ltx	-2.51102001534443	0.439408108637031	511	398	3.07603680425184e-08	3.48617504481875e-07
Escherichia.Shigella	Group	post_ltx	3.1046166357124	0.55662196968816	511	367	6.36679509733215e-08	6.95799749922728e-07
UCG.005	Group	post_ltx	-2.4465183835633	0.443770465583327	511	282	8.82375617786382e-08	9.31058410491838e-07
Holdemania	Group	post_ltx	-1.28313561815316	0.233952001010398	511	191	1.02865206190733e-07	1.04922510314548e-06
Oscillibacter	Group	post_ltx	-2.10370892817156	0.384373212958657	511	369	1.07349459956855e-07	1.05964305634831e-06
GCA.900066575	Group	post_ltx	-1.78325108497529	0.330498047004204	511	283	1.58502999599664e-07	1.51568493367179e-06
f__Peptococcaceae.g__uncultured	Country	NO	0.947163903526639	0.180050618004775	511	67	3.1600041160862e-07	2.93018563491629e-06
Rothia	Country	NO	-1.50044708245557	0.285431810371051	511	234	3.32425031622224e-07	2.99182528460001e-06
Gemella	Country	NO	-1.31510348241236	0.254002214750553	511	212	5.02359450446878e-07	4.39205690962127e-06
f__Lachnospiraceae.g__unassigned	Group	post_ltx	-1.26660380971702	0.247642579213703	511	498	6.29457210279108e-07	5.35038628737242e-06
Coprococcus	Group	post_ltx	-2.24087024833769	0.44151230028839	511	429	7.58813615548016e-07	6.27559368534305e-06
Corynebacterium	Country	NO	-0.812616502524838	0.159530914460943	511	106	8.98672122552787e-07	7.23667551318823e-06
Marvinbryantia	Group	post_ltx	-1.46465270699844	0.291350487470316	511	330	9.45512488183281e-07	7.41863644574574e-06
